figure,provider,dataset,method,metric,value,source
04_retrieval_hit_curves.png,groq-llama70b,casehold,snap_hyre,hit_at_3_pct,38.44,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,snap_hyre,hit_at_5_pct,44.97,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,casehold,snap_hyre,hit_at_10_pct,52.89,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,rag_hyde,hit_at_1_pct,2.59,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,rag_hyde,hit_at_3_pct,6.53,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,rag_hyde,hit_at_5_pct,10.46,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,rag_hyde,hit_at_10_pct,17.57,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,snap_hyre,hit_at_1_pct,3.01,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,snap_hyre,hit_at_3_pct,7.20,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,snap_hyre,hit_at_5_pct,11.05,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_curves.png,groq-llama70b,barexam,snap_hyre,hit_at_10_pct,18.49,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,hit_at_1_pct,2.59,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,hit_at_3_pct,6.53,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,hit_at_5_pct,10.46,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,hit_at_10_pct,17.57,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,hit_at_1_pct,3.01,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,hit_at_3_pct,7.20,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,hit_at_5_pct,11.05,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,hit_at_10_pct,18.49,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,mrr_at_1_pct,2.59,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,mrr_at_3_pct,4.27,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,mrr_at_5_pct,5.15,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,rag_hyde,mrr_at_10_pct,6.09,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,mrr_at_1_pct,3.01,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,mrr_at_3_pct,4.77,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,mrr_at_5_pct,5.64,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,barexam,snap_hyre,mrr_at_10_pct,6.63,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,hit_at_1_pct,6.06,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,hit_at_3_pct,13.08,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,hit_at_5_pct,17.94,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,hit_at_10_pct,26.39,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,hit_at_1_pct,33.03,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,hit_at_3_pct,45.17,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,hit_at_5_pct,51.22,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,hit_at_10_pct,59.14,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,hit_at_1_pct,26.08,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,hit_at_3_pct,38.44,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,hit_at_5_pct,44.97,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,hit_at_10_pct,52.89,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,mrr_at_1_pct,6.06,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,mrr_at_3_pct,9.05,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,mrr_at_5_pct,10.15,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,model_invariant,casehold,rag_simple,mrr_at_10_pct,11.25,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,mrr_at_1_pct,33.03,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,mrr_at_3_pct,38.45,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,mrr_at_5_pct,39.83,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,rag_hyde,mrr_at_10_pct,40.90,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,mrr_at_1_pct,26.08,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,mrr_at_3_pct,31.39,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,mrr_at_5_pct,32.86,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,casehold,snap_hyre,mrr_at_10_pct,33.90,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_1_pct,40.46,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_3_pct,57.62,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_5_pct,61.47,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,hit_at_10_pct,69.53,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_1_pct,31.35,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_3_pct,46.58,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_5_pct,55.17,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,hit_at_10_pct,64.62,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,mrr_at_1_pct,40.46,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,mrr_at_3_pct,48.16,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,mrr_at_5_pct,49.05,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,rag_hyde,mrr_at_10_pct,50.15,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,mrr_at_1_pct,31.35,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,mrr_at_3_pct,38.09,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,mrr_at_5_pct,40.03,docs/generated/snap_hyre_package/retrieval_topk_status.csv
04_retrieval_hit_mrr_curves_full.png,groq-llama70b,legalbench_scalr,snap_hyre,mrr_at_10_pct,41.26,docs/generated/snap_hyre_package/retrieval_topk_status.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_1_pct,19.50,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_2_pct,24.33,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_3_pct,27.17,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_4_pct,29.50,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_5_pct,31.75,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_6_pct,33.00,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_7_pct,33.67,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_8_pct,35.08,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_9_pct,35.42,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,hit_at_10_pct,36.17,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_1_pct,19.50,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_2_pct,21.92,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_3_pct,22.86,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_4_pct,23.44,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_5_pct,23.89,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_6_pct,24.10,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_7_pct,24.20,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_8_pct,24.38,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_9_pct,24.41,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
05_q100_macro_topk_probe.png,or-gemma4-26b,macro_q100,all_supplied_caches,mrr_at_10_pct,24.49,docs/generated/retrieval_cache_matrix_or-gemma4-26b_q100_k1_to_k10.csv
